iter	Logloss
0	0.6355535401
1	0.5931268281
2	0.5650169982
3	0.5421687165
4	0.5229323343
5	0.508884236
6	0.4998168945
7	0.4917753649
8	0.4828089606
9	0.4771843788
10	0.471168241
11	0.467748388
12	0.4640654409
13	0.4610137939
14	0.4580070736
15	0.4553850742
16	0.4520915773
17	0.4505852799
18	0.4479013217
19	0.446020094
20	0.4438398237
21	0.441318281
22	0.4393905381
23	0.4376258758
24	0.4362193701
25	0.4350612169
26	0.4331182152
27	0.430645848
28	0.4296439035
29	0.4278718519
30	0.426800079
31	0.4249180016
32	0.42427813
33	0.4231777976
34	0.4216693943
35	0.4199794003
36	0.4187155809
37	0.4176264063
38	0.4162397408
39	0.4148409199
40	0.4129003936
41	0.4102659803
42	0.408407142
43	0.4071292462
44	0.4060272882
45	0.4050178435
46	0.4036306608
47	0.4015292336
48	0.4005903932
49	0.3997884386
50	0.3983924626
51	0.3970987906
52	0.3959352064
53	0.3948007357
54	0.3937241968
55	0.3923371617
56	0.3910416056
57	0.3902403898
58	0.3894069939
59	0.3881060067
60	0.3869397253
61	0.3861482265
62	0.3853638213
63	0.3844640699
64	0.3829497922
65	0.3817831783
66	0.381005682
67	0.378965364
68	0.3781708355
69	0.3771868468
70	0.3764141535
71	0.375213623
72	0.3741887349
73	0.3733936892
74	0.3719903239
75	0.3711144768
76	0.3697761369
77	0.3687396477
78	0.3673890786
79	0.3665826534
80	0.3650002837
81	0.3635693936
82	0.3626431888
83	0.3617555558
84	0.3607129704
85	0.3599053999
86	0.3593100855
87	0.3583583139
88	0.3572620457
89	0.3562221204
90	0.3553175291
91	0.3547273132
92	0.3528491891
93	0.3520450176
94	0.3511590842
95	0.3505552721
96	0.349902063
97	0.3485646467
98	0.3477515343
99	0.3463401887
100	0.3452860391
101	0.344053661
102	0.3432321618
103	0.3422914741
104	0.3412901576
105	0.3400075326
106	0.3392795073
107	0.3387709426
108	0.3374450166
109	0.3366165346
110	0.3359580421
111	0.3346955159
112	0.3339117757
113	0.3327793001
114	0.3317374906
115	0.3312036916
116	0.3307511374
117	0.3294555442
118	0.328690425
119	0.3275182322
120	0.3266110917
121	0.3258864285
122	0.3251629107
123	0.324638533
124	0.323496008
125	0.3225497414
126	0.3220426546
127	0.3210884445
128	0.3204968616
129	0.3200630022
130	0.3193044593
131	0.3186600064
132	0.3175764107
133	0.3168388533
134	0.3161109389
135	0.315232173
136	0.3145682864
137	0.313867121
138	0.3126753837
139	0.3123822893
140	0.3111545295
141	0.3106962855
142	0.3097485411
143	0.3083804595
144	0.3076270337
145	0.3066032539
146	0.3053544347
147	0.3044462042
148	0.3038304585
149	0.3028378614
150	0.3021249471
151	0.3009669048
152	0.3001197833
153	0.2997276916
154	0.2992991154
155	0.2985925928
156	0.2979105656
157	0.2966083037
158	0.2960060988
159	0.2949923684
160	0.2942604822
161	0.2938484026
162	0.2931729333
163	0.2922845799
164	0.2918978269
165	0.291113551
166	0.2900767476
167	0.2893179831
168	0.288468922
169	0.2879497537
170	0.2873345068
171	0.2867836941
172	0.2863412815
173	0.2859535679
174	0.2849676026
175	0.28435315
176	0.2838404288
177	0.2831349962
178	0.2824099451
179	0.2820152486
180	0.2812285897
181	0.2806336631
